did,name,elapsed_sec,n_samples,n_features,n_classes,ratio_samples_per_feature,missing_ratio_overall,missing_col_max,missing_col_min,frac_cols_with_na,num_mean_of_means,num_mean_skew,class_entropy,majority_class_ratio,ratio_num_cat,unique_rows_ratio,logreg_bac,logreg_acc,knn5_bac,best_algo
3,kr-vs-kp,12.295,3196,36,2,88.77777777777777,0.0,0.0,0.0,0.0,,,0.998575538655458,0.522215269086358,0.0,1.0,0.9660381394334704,0.96589739827856,0.934394211221367,linsvc
18,mfeat-morphological,0.32,2000,6,10,333.3333333333333,0.0,0.0,0.0,0.0,1052.6997316402774,0.5315671843447335,3.321928094887362,0.1,inf,0.944,0.734,0.734,0.7085,linsvc
22,mfeat-zernike,0.612,2000,47,10,42.5531914893617,0.0,0.0,0.0,0.0,88.63642941472713,0.790830076474756,3.321928094887362,0.1,inf,0.997,0.8160000000000001,0.8160000000000001,0.8039999999999999,linsvc
23,cmc,0.415,1473,9,3,163.66666666666666,0.0,0.0,0.0,0.0,17.89986422267481,0.677731575793992,1.5390345832497476,0.4270196877121521,0.2857142857142857,0.921928038017651,0.4767691029008724,0.5044667358468812,0.4622662381684109,logreg_bal
24,mushroom,0.995,8124,21,2,386.8571428571428,0.0145365876532789,0.3052683407188577,0.0,0.0476190476190476,,,0.9990678968724604,0.517971442639094,0.0,1.0,0.9997445721583652,0.999753846153846,1.0,linsvc
26,nursery,1.334,12960,8,5,1620.0,0.0,0.0,0.0,0.0,,,1.7164959001837934,0.3333333333333333,0.0,1.0,0.7986076455521325,0.925925925925926,0.7848143984931661,logreg_bal
30,page-blocks,0.459,5473,10,5,547.3,0.0,0.0,0.0,0.0,253.32758631463548,14.711451967520436,0.6354628258660037,0.8976795176320117,inf,0.9853827882331444,0.7064778825344711,0.959439199285434,0.7732771491528447,logreg_bal
31,credit-g,0.382,1000,20,2,50.0,0.0,0.0,0.0,0.0,476.5838571428571,0.9203791257169,0.8812908992306927,0.7,0.5384615384615384,1.0,0.6642857142857143,0.75,0.6230952380952381,logreg_bal
32,pendigits,1.633,10992,16,10,687.0,0.0,0.0,0.0,0.0,50.711045533115,-0.0391960821203113,3.320771738890595,0.1040756914119359,inf,1.0,0.9511960466734036,0.951419228113035,0.992564464670648,knn5
36,segment,0.401,2310,18,7,128.33333333333334,0.0,0.0,0.0,0.0,25.50165214002752,3.320958854659288,2.807354922057604,0.1428571428571428,inf,0.9030303030303032,0.9346320346320348,0.9346320346320348,0.9406926406926408,knn5
60,waveform-5000,1.041,5000,40,3,125.0,0.0,0.0,0.0,0.0,0.8994882000000001,0.0354682736242672,1.5848792049207134,0.3384,inf,1.0,0.8660371295755953,0.8658000000000001,0.7747582307908403,linsvc
137,BNG(tic-tac-toe),2.894,39366,9,2,4374.0,0.0,0.0,0.0,0.0,,,0.9314528308622936,0.6528984402784128,0.0,0.2851445409744449,0.6700431152086777,0.729360284250862,0.7466776164863536,knn5
151,electricity,2.54,45312,8,2,5664.0,0.0,0.0,0.0,0.0,0.3441820375901686,12.618112702577076,0.9835093906057096,0.5754546257062146,7.0,1.0,0.742796607281445,0.7608801144873402,0.8284141206226228,knn5
179,adult,9.334,48842,14,2,3488.714285714286,0.0094546847853428,0.057511977396503,0.0,0.2142857142857142,94837.1063429016,0.5611835109305496,0.7938438393644256,0.7607182343065395,0.1666666666666666,0.9956594734040376,0.7723111317665199,0.857172002076803,0.7360488316330045,logreg_bal
181,yeast,0.294,1484,8,10,185.5,0.0,0.0,0.0,0.0,0.3811969339622642,2.912827303657759,2.490417636232728,0.3119946091644205,inf,0.97911051212938,0.556521176553749,0.5903221403221404,0.5684164106214584,logreg_bal
182,satimage,1.469,6430,36,6,178.61111111111111,0.0,0.0,0.0,0.0,-0.0005560885260065,0.0404602338510036,2.4833618760456604,0.2381026438569206,inf,1.0,0.8088063015108862,0.8566096423017108,0.8871154366216116,knn5
184,kropt,7.16,28056,6,18,4676.0,0.0,0.0,0.0,0.0,,,3.50415902053474,0.1622825777017393,0.0,1.0,0.3682206773002827,0.400591776183454,0.2806581610032267,logreg_bal
185,baseball,0.33,1340,16,3,83.75,0.0009328358208955,0.0149253731343283,0.0,0.0625,637.4240550806572,0.8335889988230138,0.5400978590902226,0.9067164179104478,15.0,1.0,0.6833393629689926,0.9432835820895524,0.5512438179104845,logreg_bal
251,BNG(breast-w),2.502,39366,9,2,4374.0,0.0,0.0,0.0,0.0,3.1286446768700573,1.4711308660595714,0.9286919590843375,0.655895950820505,inf,0.8277955596199766,0.9767181066917604,0.979195258123782,0.9813833862526782,knn5
57,hypothyroid,0.784,3772,27,4,139.7037037037037,0.0225050076587722,0.2038706256627783,0.0,0.2592592592592592,46.436689696411385,3.569191882469104,0.4666175969866337,0.9228525980911984,0.2857142857142857,0.983828207847296,0.6504292046953655,0.9573179686264864,0.5365273307838769,logreg_bal
38,sick,0.559,3772,27,2,139.7037037037037,0.0225050076587722,0.2038706256627783,0.0,0.2592592592592592,46.436689696411385,3.569191882469104,0.3323505555321104,0.9387592788971368,0.2857142857142857,0.983828207847296,0.8005693028656127,0.96765541834279,0.7876553702908035,logreg_bal
310,mammography,0.415,11183,6,2,1863.8333333333333,0.0,0.0,0.0,0.0,-1.9973826216877078e-11,4.443275632344252,0.1593164203699977,0.9767504247518556,inf,0.7017794867209157,0.7005955733816146,0.9835464376564896,0.7518778132622528,logreg_bal
