model,acc_mean,bac_mean,f1_macro_mean
linsvc,0.7455732946298983,0.6535169809550614,0.6528242570018886
logreg,0.7150943396226415,0.6235750304906652,0.6214934130508725
logreg_bal,0.6656748911465893,0.6153132915845765,0.6062465556661886
rf,0.703410740203193,0.6127126137536354,0.6114913774924025
knn5,0.6010159651669087,0.5231021906370203,0.519732117905041
dummy_mf,0.37264150943396224,0.25,0.13572175059489355
